kleftshoulderpitch, kleftshoulderroll, kleftelbowpitch, kleftelbowyaw, krightshoulderpitch, krightshoulderroll, krightelbowpitch, krightelbowyaw
(-0.7589, -1.3272, 0.5087, -1.9598, -0.7834, 1.3089, 0.4808, 1.9911),
(-0.8978, -1.2402, 0.5079, -1.8130, -0.4065, 1.0456, 0.4057, 2.1376),
(-0.8974, -1.2360, 0.5152, -1.7409, -0.1352, 1.0086, 0.2024, 2.1376),
(-0.4538, -1.1845, 0.5125, -2.1220, -1.0103, 0.8892, 0.7063, 1.6135),
(-0.2539, -1.0636, 0.3721, -2.1223, -1.3846, 1.1311, 0.9173, 1.2270),
(0.1108, -1.0628, 0.1204, -2.1227, -1.6222, 1.3302, 1.0794, 0.8356),
(0.3367, -1.0846, 0.1219, -2.1231, -1.7725, 1.5091, 1.3296, 0.4931),
(0.3553, -1.1017, 0.3088, -2.1231, -1.8187, 1.5946, 1.2869, 0.2558),
(-0.0559, -1.1143, 0.3092, -2.1227, -1.6428, 1.3798, 1.1484, 0.7467),
(-0.3538, -1.1269, 0.3092, -2.1223, -1.4193, 1.2783, 0.9539, 1.2335),
(-0.6003, -1.2150, 0.3874, -2.0373, -1.0538, 1.1940, 0.6289, 1.7802),
(-0.7673, -1.4000, 0.3889, -1.9282, -0.8055, 1.2246, 0.4423, 2.0689),
(0.0349, -1.4489, 0.2726, -0.2413, -0.0494, 1.4710, 0.4320, -0.1535),
